prefix_s,project_s,targeted_locus_name_s,div_s,organism_an,bioproject_s,biosample_ss,keyword_ss,infra_name_ss,other_src_ss,contigs_total_length_l,contigs_count_l,contigs_proteins_count_l,contigs_annotated_s,scaffolds_count_l,scaffolds_proteins_count_l,scaffolds_total_length_l,scaffolds_annotated_s,scaffolds_range_ss,chromosome_range_ss,update_date_dt,create_date_dt
PYHX01,WGS,,INV,Cochliomyia hominivorax,PRJNA438970,SAMN08737030,WGS,isolate: J06 Research Colony,"dev_stage: late embryo,isolation_source: originally isolated from cattle wounds in Jamaica in Oct-2006,tissue_type: Whole Embryo",534084880,3663,0,No,0,0,0,No,,,2019-02-26T00:00:00Z,2019-02-26T00:00:00Z
PYIH01,WGS,,VRT,Pipra filicauda,PRJNA445296,SAMN08774045,WGS,isolate: LSUMZ 115617,"dev_stage: adult,tissue_type: muscle",1110963465,3744,0,No,0,0,0,No,,,2018-12-14T00:00:00Z,2018-12-14T00:00:00Z
PVHT01,WGS,,MAM,Catagonus wagneri,PRJNA399378,SAMN07678067,WGS,isolate: BS18,dev_stage: adult,2593589281,1230162,0,No,0,0,0,No,,,2019-01-15T00:00:00Z,2019-01-15T00:00:00Z
PVHU01,WGS,,MAM,Moschus moschiferus,PRJNA399405,SAMN07678096,WGS,isolate: BS20,dev_stage: adult,2966355811,1175703,0,No,0,0,0,No,,,2019-01-15T00:00:00Z,2019-01-15T00:00:00Z
PVHZ01,WGS,,MAM,Tragulus javanicus,PRJNA399456,SAMN07678116,WGS,isolate: US108,dev_stage: adult,2582625763,1156990,0,No,0,0,0,No,,,2019-01-15T00:00:00Z,2019-01-15T00:00:00Z
PVIO02,WGS,,MAM,Procavia capensis,PRJNA399414,SAMN07678107,WGS,isolate: US060,dev_stage: adult,3897621025,826553,0,No,0,0,0,No,,,2019-07-15T00:00:00Z,2019-07-15T00:00:00Z
PVJP01,WGS,,MAM,Hippopotamus amphibius,PRJNA399399,SAMN07678089,WGS,isolate: BS01,dev_stage: adult,2677915672,967869,0,No,0,0,0,No,,,2019-01-16T00:00:00Z,2019-01-16T00:00:00Z
PVJT01,WGS,,MAM,Galeopterus variegatus,PRJNA399345,SAMN07678019,WGS,isolate: US047,dev_stage: adult,3225624221,1649747,0,No,0,0,0,No,,,2019-01-16T00:00:00Z,2019-01-16T00:00:00Z
PVJY01,WGS,,MAM,Diceros bicornis,PRJNA399388,SAMN07678078,WGS,isolate: BS38,dev_stage: adult,3020704222,2022658,0,No,0,0,0,No,,,2019-01-16T00:00:00Z,2019-01-16T00:00:00Z
PVKT01,WGS,,MAM,Antilocapra americana,PRJNA399373,SAMN07678063,WGS,isolate: BS35,dev_stage: adult,2899768642,1643131,0,No,0,0,0,No,,,2019-01-16T00:00:00Z,2019-01-16T00:00:00Z
PUFS01,WGS,,MAM,Bos indicus x Bos taurus,PRJNA432857,SAMN08473802,WGS,breed: Angus x Brahman F1 hybrid,"dev_stage: fetus,tissue_type: lung",2678755553,1585,0,No,1,0,16339,No,CM010492-CM010492,,2018-11-28T00:00:00Z,2018-08-10T00:00:00Z
PUFT01,WGS,,MAM,Bos indicus x Bos taurus,PRJNA432857,SAMN08473802,WGS,breed: Angus x Brahman F1 hybrid,"dev_stage: fetus,tissue_type: lung",2573806573,1747,0,No,0,0,0,No,,,2018-11-28T00:00:00Z,2018-08-10T00:00:00Z
LSRL01,WGS,,INV,Drosophila navojoa,PRJNA309833,SAMN04440794,WGS,isolate: navoj_Jal97,"isolation_source: banana trap,tissue_type: whole organism",115885644,8053,0,No,0,0,0,No,,,2016-05-09T00:00:00Z,2016-05-09T00:00:00Z
LVEK01,WGS,,VRT,Rhincodon typus,PRJNA255419,SAMN04562461,WGS,isolate: Ralph,"dev_stage: juvenile,tissue_type: spleen",2567631609,997976,0,No,0,0,0,No,,,2016-05-11T00:00:00Z,2016-05-11T00:00:00Z
LVEK02,WGS,,VRT,Rhincodon typus,PRJNA255419,SAMN04562461,WGS,isolate: Ralph,"dev_stage: juvenile,tissue_type: spleen",2931582701,57333,0,No,0,0,0,No,,,2017-03-03T00:00:00Z,2017-03-03T00:00:00Z
LWHD01,WGS,,VRT,Kryptolebias marmoratus,PRJNA317650,SAMN04622665,WGS,isolate: JLee-2015,"dev_stage: adult,tissue_type: liver",680349455,3072,0,No,0,0,0,No,,,2016-05-22T00:00:00Z,2016-05-22T00:00:00Z
LWKT01,WGS,,INV,Caenorhabditis nigoni,PRJNA306403,SAMN04349754,WGS,strain: JU1421,"dev_stage: mix stage,tissue_type: whole worm",137395604,3249,0,No,0,0,0,No,,,2016-05-13T00:00:00Z,2016-05-13T00:00:00Z
LWMJ01,WGS,,INV,Taenia asiatica,PRJNA299871,SAMN04230713,WGS,isolate: TASYD01,"dev_stage: adult,host: Homo sapiens,tissue_type: middle proglottids",168104402,6711,12368,Yes,0,0,0,No,,,2016-07-24T00:00:00Z,2016-07-24T00:00:00Z
LWMK01,WGS,,INV,Taenia saginata,PRJNA71493,SAMN04230930,WGS,isolate: TSAYD01,"dev_stage: adult,host: Homo sapiens,tissue_type: middle proglottids",168928941,3535,12196,Yes,0,0,0,No,,,2016-07-24T00:00:00Z,2016-07-24T00:00:00Z
LXEJ01,WGS,,ROD,Mus musculus,PRJNA318985,SAMN04871431,WGS,"isolate: Eve,strain: C57BL/6J","dev_stage: adult,tissue_type: spleen",2798938821,12662,0,No,0,0,0,No,,,2018-11-20T00:00:00Z,2017-09-11T00:00:00Z
LYOV01,WGS,,PRI,Homo sapiens,PRJNA301527,SAMN04251426,WGS,isolate: HX1,"isolation_source: healthy Chinese individual,tissue_type: blood",2110030117,382,0,No,0,0,0,No,,,2016-08-18T00:00:00Z,2016-08-18T00:00:00Z
MCBO01,WGS,,VRT,Manacus vitellinus,PRJNA335611,SAMN02299332,WGS,isolate: BGI_N305,,1213420527,15315,0,No,0,0,0,No,,,2016-08-29T00:00:00Z,2016-08-29T00:00:00Z
MCBO02,WGS,,VRT,Manacus vitellinus,PRJNA335611,SAMN02299332,WGS,isolate: BGI_N305,,1213150360,15315,0,No,0,0,0,No,,,2018-05-11T00:00:00Z,2018-05-11T00:00:00Z
MDLI01,WGS,,VRT,Setophaga coronata coronata,PRJNA325157,SAMN05224218,WGS,isolate: EE26A12,"dev_stage: adult,tissue_type: blood",1171929618,154686,0,No,0,0,0,No,,,2016-09-27T00:00:00Z,2016-09-27T00:00:00Z
OFHY01,WGS,,VRT,Astatotilapia calliptera,PRJEB24325,SAMEA104026430,WGS,,,883159802,338,0,No,0,0,0,No,,,2018-01-15T00:00:00Z,2018-01-15T00:00:00Z
OFHY02,WGS,,VRT,Astatotilapia calliptera,PRJEB24325,SAMEA104026430,WGS,,,880417486,363,0,No,248,0,880428986,No,LS397825-LS398072,,2018-05-02T00:00:00Z,2018-05-03T00:00:00Z
OFHY03,WGS,,VRT,Astatotilapia calliptera,PRJEB24325,SAMEA104026430,WGS,,,880417486,363,0,No,248,0,880428986,No,LS419793-LS420040,,2018-05-18T00:00:00Z,2018-05-23T00:00:00Z
OFHY04,WGS,,VRT,Astatotilapia calliptera,PRJEB24325,SAMEA104026430,WGS,,,880417486,363,0,No,22,0,850709649,No,LS420019-LS420040,,2022-06-27T00:00:00Z,2021-04-24T00:00:00Z
OCVW01,WGS,,PRI,Homo sapiens,PRJEB23027,SAMEA104349931,WGS,,,2866880913,2337,0,No,0,0,0,No,,,2018-12-06T00:00:00Z,2017-10-25T00:00:00Z
OOHO01,WGS,,VRT,Anabas testudineus,PRJEB25768,SAMEA104026376,WGS,,,569705464,69,0,No,0,0,0,No,,,2018-03-31T00:00:00Z,2018-03-31T00:00:00Z
OOHO02,WGS,,VRT,Anabas testudineus,PRJEB25768,SAMEA104026376,WGS,,,1409930,27,0,No,0,0,0,No,,,2018-12-19T00:00:00Z,2018-12-19T00:00:00Z
OOHQ01,WGS,,VRT,Mastacembelus armatus,PRJEB25769,SAMEA104026378,WGS,,,593065986,125,0,No,0,0,0,No,,,2018-03-31T00:00:00Z,2018-03-31T00:00:00Z
OOHQ02,WGS,,VRT,Mastacembelus armatus,PRJEB25769,SAMEA104026378,WGS,,,19106886,98,0,No,0,0,0,No,,,2019-03-14T00:00:00Z,2019-03-16T00:00:00Z
OLMO01,WGS,,INV,Cassiopea xamachana,PRJEB23739,SAMEA104446260,WGS,strain: T1-A,,393520168,93483,0,No,0,0,0,No,,,2018-02-24T00:00:00Z,2018-02-24T00:00:00Z
OGVF01,WGS,,INV,Culicoides sonorensis,PRJEB19938,SAMEA104556916,WGS,,,194177243,7974,0,Yes,0,0,0,No,,,2018-02-04T00:00:00Z,2018-02-04T00:00:00Z
OGVF02,WGS,,INV,Culicoides sonorensis,PRJEB19938,SAMEA104556916,WGS,,,194177243,7974,0,Yes,0,0,0,No,,,2018-02-22T00:00:00Z,2018-02-26T00:00:00Z
PGGR01,WGS,,MAM,Physeter catodon,PRJNA411766,SAMN07836523,WGS,isolate: SW-GA,"dev_stage: adult,tissue_type: muscle",2469592361,105459,0,No,6021,0,2481671406,No,KZ478112-KZ484132,,2017-12-12T00:00:00Z,2017-12-12T00:00:00Z
PGSH01,WGS,,VRT,Ambystoma mexicanum,PRJNA378970,SAMN06554622,WGS,strain: DD151,tissue_type: liver,32393605577,125724,0,No,20,0,27066621726,No,CM010927-CM010946,,2019-01-28T00:00:00Z,2018-02-05T00:00:00Z
PPTJ01,WGS,,INV,Sitophilus oryzae,PRJNA431034,SAMN08382431,WGS,breed: Bouriz,"dev_stage: adult,isolation_source: rice,tissue_type: gonads",651856124,17786,0,No,0,0,0,No,,,2018-02-22T00:00:00Z,2018-02-22T00:00:00Z
PKGA01,WGS,,MAM,Phocoena phocoena,PRJNA417595,SAMN08000480,WGS,,"dev_stage: young adult,tissue_type: muscle",2441140962,142029,0,No,0,0,0,No,,,2019-11-12T00:00:00Z,2018-04-24T00:00:00Z
PIJE01,WGS,,VRT,Coryphaenoides rupestris,PRJNA417902,SAMN08010939,WGS,isolate: MGRH-2017,"dev_stage: adult,tissue_type: muscle and fin",829208733,47680,0,No,0,0,0,No,,,2018-01-23T00:00:00Z,2018-01-23T00:00:00Z
POVN01,WGS,,MAM,Phascolarctos cinereus,PRJNA359763,SAMN06198159,WGS,isolate: Bilbo 61053,"dev_stage: adult,tissue_type: spleen",2956288,70,0,No,0,0,0,No,,,2018-07-02T00:00:00Z,2018-07-02T00:00:00Z
PRFB01,WGS,,VRT,Terrapene mexicana triunguis,PRJNA415469,SAMN08285364,WGS,isolate: 2854851,"isolation_source: Kennedy Woods\, Forest Park,tissue_type: blood",2323105764,107230,0,No,0,0,0,No,,,2018-09-21T00:00:00Z,2018-02-12T00:00:00Z
PKSA01,WGS,,INV,Ixodes scapularis,PRJNA345486,SAMN06329993,WGS,,"dev_stage: larval cells,tissue_type: cell clone derived from embryonated eggs",2691012647,18718,0,No,0,0,0,No,,,2018-01-19T00:00:00Z,2018-01-19T00:00:00Z
QFDB01,WGS,,INV,Apis mellifera mellifera,PRJNA450801,SAMN08947224,WGS,isolate: ACANBOUESSANT,"dev_stage: Nymph,isolation_source: A hive on an island,tissue_type: Whole organism",227036473,114,0,No,16,0,221484009,No,CM010319-CM010334,,2018-07-11T00:00:00Z,2018-06-18T00:00:00Z
QFTL01,WGS,,INV,Cydia pomonella,PRJNA464426,SAMN09205828,WGS,breed: Jiuquan,"isolation_source: orchard,tissue_type: adult",836706794,2135,0,No,0,0,0,No,,,2018-08-23T00:00:00Z,2018-08-23T00:00:00Z
QGOO01,WGS,,ROD,Mus spicilegus,PRJNA421365,SAMN08141584,WGS,strain: ZRU,"dev_stage: adult,tissue_type: liver",2496083520,37536,0,No,0,0,0,No,,,2018-07-23T00:00:00Z,2018-07-23T00:00:00Z
QKMT01,WGS,,INV,Monomorium pharaonis,PRJNA474713,SAMN09371204,WGS,isolate: queens; colony H584,"isolation_source: laboratory,tissue_type: whole body",340358414,16259,0,No,0,0,0,No,,,2018-06-22T00:00:00Z,2018-06-22T00:00:00Z
QKWQ01,WGS,,MAM,Canis lupus dingo,PRJNA475652,SAMN09397198,WGS,isolate: Sandy,tissue_type: muscle,2439831507,2444,0,No,0,0,0,No,,,2018-06-18T00:00:00Z,2018-06-18T00:00:00Z
QKYM01,WGS,,VRT,Chlamydotis undulata undulata,PRJNA473697,SAMN09281226,WGS,,"dev_stage: adult,tissue_type: blood",1307644940,80662,0,No,0,0,0,No,,,2018-08-16T00:00:00Z,2018-08-16T00:00:00Z
QLNU01,WGS,,INV,Dysdera silvatica,PRJNA475203,SAMN09381544,WGS,isolate: NMH25907,"dev_stage: adult,tissue_type: whole body",1359266291,65202,0,No,1,0,14440,No,CM016944-CM016944,,2019-07-01T00:00:00Z,2019-06-26T00:00:00Z
QQSS01,WGS,,INV,Craspedacusta sowerbii,PRJNA335818,SAMN05463206,WGS,isolate: 4NJM1BBP0Z,"isolation_source: whole organism,tissue_type: whole organism",673186662,424693,0,No,0,0,0,No,,,2020-01-17T00:00:00Z,2018-10-24T00:00:00Z
QNQS01,WGS,,INV,Drosophila miranda,PRJNA474939,SAMN09375764,WGS,strain: MSH22,tissue_type: Whole body,287114518,102,0,No,6,0,173097275,No,CM010493-CM010498,,2018-08-13T00:00:00Z,2018-08-10T00:00:00Z
QNVO01,WGS,,PRI,Macaca mulatta,PRJNA476474,SAMN09435472,WGS,isolate: AG07107,tissue_type: fibroblast,2939294208,3549,0,No,0,0,0,No,,,2019-01-15T00:00:00Z,2019-01-15T00:00:00Z
QORX01,WGS,,INV,Rhopalosiphum maidis,PRJNA480062,SAMN09625554,WGS,isolate: BTI-1,tissue_type: whole body,326445255,220,0,No,0,0,0,No,,,2018-10-23T00:00:00Z,2018-10-23T00:00:00Z
NIFN01,WGS,,VRT,Strix occidentalis caurina,PRJNA338167,SAMN05525316,WGS,isolate: Sequoia,"dev_stage: adult,tissue_type: blood",1255541132,8108,0,No,0,0,0,No,,,2017-09-26T00:00:00Z,2017-09-26T00:00:00Z
NINY01,WGS,,MAM,Neomonachus schauinslandi,PRJNA384558,SAMN06841387,WGS,,tissue_type: blood,2400917536,7872,0,No,0,0,0,No,,,2017-06-20T00:00:00Z,2017-06-20T00:00:00Z
NIPN01,WGS,,INV,Caenorhabditis latens,PRJNA248912,SAMN02803907,WGS,strain: PX534,"host: pillbug,isolation_source: rotten grass",117124750,1858,25624,Yes,0,0,0,No,,,2017-08-18T00:00:00Z,2017-08-18T00:00:00Z
NIPN02,WGS,,INV,Caenorhabditis latens,PRJNA248912,SAMN02803907,WGS,strain: PX534,"host: pillbug,isolation_source: rotten grass",120367454,97,0,No,0,0,0,No,,,2021-06-23T00:00:00Z,2021-06-23T00:00:00Z
NIRI01,WGS,,INV,Clonorchis sinensis,PRJNA386618,SAMN07109486,WGS,isolate: Cs-k2,"isolation_source: fresh water,tissue_type: Body",562768885,2776,14538,Yes,0,0,0,No,,,2020-05-13T00:00:00Z,2018-10-01T00:00:00Z
NJHN01,WGS,,INV,Dermatophagoides pteronyssinus,PRJNA388362,SAMN07175633,WGS,isolate: Derp,"isolation_source: air conditioner and blankets,tissue_type: whole mite body",66623663,1390,0,No,0,0,0,No,,,2018-05-01T00:00:00Z,2018-05-01T00:00:00Z
NJHN02,WGS,,INV,Dermatophagoides pteronyssinus,PRJNA388362,SAMN07175633,WGS,isolate: Derp,"isolation_source: air conditioner and blankets,tissue_type: whole mite body",66849540,634,0,No,0,0,0,No,,,2021-01-12T00:00:00Z,2021-01-12T00:00:00Z
NJHR01,WGS,,INV,Spodoptera frugiperda,PRJNA380964,SAMN06658935,WGS,isolate: Sf9,"dev_stage: pupa,tissue_type: ovary",514225903,2396,0,No,0,0,0,No,,,2017-06-30T00:00:00Z,2017-06-30T00:00:00Z
NESX01,WGS,,ROD,Psammomys obesus,PRJNA355058,SAMN06061930,WGS,isolate: Psa_ob012049795,"dev_stage: adult,tissue_type: liver",2311471749,96427,0,No,0,0,0,No,,,2017-07-07T00:00:00Z,2017-07-07T00:00:00Z
NQVZ01,WGS,,MAM,Delphinapterus leucas,PRJNA360851,SAMN06216270,WGS,isolate: GAN/ISIS: 26980492/103006,"dev_stage: adult,tissue_type: blood",2326779436,35369,0,No,1684,0,2344949619,No,KZ290064-KZ291747,,2017-09-15T00:00:00Z,2017-09-11T00:00:00Z
NGVV01,WGS,,INV,Drosophila simulans,PRJNA377886,SAMN06473875,WGS,strain: w501,"dev_stage: adult,tissue_type: whole body",131682453,96,0,No,7,0,120924732,No,CM028640-CM028646,,2021-01-25T00:00:00Z,2021-01-25T00:00:00Z
NKLS01,WGS,,MAM,Bos taurus,PRJNA391427,SAMN03145444,WGS,"breed: Hereford,isolate: L1 Dominette 01449 registration number 42190680",tissue_type: left lung,2737334613,2210,0,No,31,0,2628411263,No,CM008168-CM008198,,2017-08-22T00:00:00Z,2017-08-21T00:00:00Z
NLCU01,WGS,,INV,Teleopsis dalmanni,PRJNA391339,SAMN07271145,WGS,isolate: 2A,isolation_source: laboratory,621706043,25142,0,No,0,0,0,No,,,2017-07-28T00:00:00Z,2017-07-28T00:00:00Z
NLCU02,WGS,,INV,Teleopsis dalmanni,PRJNA391339,SAMN07271145,WGS,isolate: 2A,isolation_source: laboratory,621705817,25368,0,No,4,0,438209030,No,"CM026970-CM026973,MU135847-MU150164",,2020-11-06T00:00:00Z,2020-10-30T00:00:00Z
NLCU03,WGS,,INV,Teleopsis dalmanni,PRJNA391339,SAMN07271145,WGS,isolate: 2A,isolation_source: laboratory,457054641,9973,0,No,4,0,438209030,No,CM026970-CM026973,,2022-08-03T00:00:00Z,2022-08-01T00:00:00Z
NMRJ01,WGS,,ROD,Peromyscus leucopus,PRJNA281425,SAMN03488028,WGS,breed: LL Stock,"dev_stage: adult,tissue_type: mixed organs",2474055010,1762,0,No,0,0,0,No,,,2020-02-18T00:00:00Z,2019-04-05T00:00:00Z
NMWX01,WGS,,INV,Caenorhabditis remanei,PRJNA248911,SAMN02803906,WGS,strain: PX439,isolation_source: soil,124541912,912,25568,Yes,0,0,0,No,,,2017-08-18T00:00:00Z,2017-08-18T00:00:00Z
NMWX02,WGS,,INV,Caenorhabditis remanei,PRJNA248911,SAMN02803906,WGS,strain: PX439,isolation_source: soil,132046643,53,0,No,0,0,0,No,,,2021-06-23T00:00:00Z,2021-06-23T00:00:00Z
JENH01,WGS,,INV,Agrilus planipennis,PRJNA230921,SAMN02439909,WGS,isolate: EAB-ADULT,"dev_stage: adult,host: Fraxinus pennsylvanica (green ash),isolation_source: infested green ash trees in a residential area,tissue_type: entire body",252626949,75412,0,No,2612,0,350786789,No,KL218798-KL221409,,2014-06-27T00:00:00Z,2014-06-06T00:00:00Z
JHBY01,WGS,,INV,Gerris buenoi,PRJNA203045,SAMN02800617,WGS,breed: undomesticated insect,"isolation_source: DNA extracted after approximately eight cycles of sibling-sibling crosses in the lab,tissue_type: whole organism",653297297,304893,0,No,16729,0,994632496,No,KQ062921-KQ079649,,2015-05-21T00:00:00Z,2015-05-19T00:00:00Z
JHOM01,WGS,,INV,Onthophagus taurus,PRJNA167478,SAMN02628949,WGS,breed: undomesticated insect,"dev_stage: adult,isolation_source: collected directly from the wild several months prior to extraction,tissue_type: whole body",238600829,45207,0,No,4711,0,265086648,No,KK245166-KK249876,,2014-06-27T00:00:00Z,2014-04-28T00:00:00Z
JHQO01,WGS,,INV,Oncopeltus fasciatus,PRJNA229125,SAMN02645558,WGS,isolate: OFAS.00,dev_stage: adult,773643480,323303,36,Yes,14927,19627,1094780462,Yes,KK854002-KK868928,,2018-04-17T00:00:00Z,2014-05-27T00:00:00Z
JHUJ01,WGS,,INV,Lucilia cuprina,PRJNA203545,SAMN02422564,WGS,strain: LS,dev_stage: adult,378954012,74888,0,No,3080,0,464964846,No,KL221410-KL224489,,2014-06-27T00:00:00Z,2014-06-06T00:00:00Z
JHUN01,WGS,,INV,Cimex lectularius,PRJNA167477,SAMN02649412,WGS,"isolate: CLEC.00,strain: Harlan","isolation_source: isolated after 5 generations of single pair matings of specimens derived from the Fort Dix colony established and maintained in culture in Harold Harlan's lab since 1973,tissue_type: whole organism",513607997,45073,0,No,721,0,648832069,No,KK244445-KK245165,,2015-05-11T00:00:00Z,2014-04-28T00:00:00Z
JJNS01,WGS,,INV,Homalodisca vitripennis,PRJNA168119,SAMN02728788,WGS,isolate: HVIT.00,"dev_stage: adult,isolation_source: leafhopper colony reared for 3 years in culture\, on seedlings of sweet orange\, okra\, and basil",1324906634,512049,0,No,36416,0,2204895088,No,KK961494-KK997909,,2014-06-27T00:00:00Z,2014-05-30T00:00:00Z
JJRX01,WGS,,INV,Latrodectus hesperus,PRJNA168123,SAMN02261529,WGS,isolate: LHES.00,"isolation_source: collected in the wild,tissue_type: whole organism",726413987,458935,0,No,114522,0,1087468023,No,KL027845-KL142366,,2014-06-27T00:00:00Z,2014-06-02T00:00:00Z
JDSM01,WGS,,INV,Limnephilus lunatus,PRJNA203303,SAMN02211182,WGS,isolate: LLUN.00-Female,isolation_source: sampled in the wild,804082768,547088,0,No,56802,0,1326021206,No,KK249877-KK306678,,2014-06-27T00:00:00Z,2014-04-28T00:00:00Z
JBOX01,WGS,,INV,Copidosoma floridanum,PRJNA171748,SAMN02265491,WGS,isolate: CFLO.00-Male,isolation_source: Michael Strand lab raised,454977531,76456,0,No,3439,0,550785162,No,KK241006-KK244444,,2014-06-27T00:00:00Z,2014-04-28T00:00:00Z
MRSW01,WGS,,INV,Taenia multiceps,PRJNA307624,SAMN04413755,WGS,isolate: Gns01,"dev_stage: adult,host: Canis lupus,isolation_source: dog intestines,tissue_type: whole body",240089990,5527,0,No,0,0,0,No,,,2018-07-11T00:00:00Z,2016-12-28T00:00:00Z
MRSW02,WGS,,INV,Taenia multiceps,PRJNA307624,SAMN04413755,WGS,isolate: Gns01,"dev_stage: adult,host: Canis lupus,isolation_source: dog intestines,tissue_type: whole body",301477105,738,0,No,8,0,216929442,No,CM010311-CM010318,,2018-10-04T00:00:00Z,2018-07-11T00:00:00Z
MSSY01,WGS,,INV,Timema cristinae,PRJNA357256,SAMN06135417,WGS,isolate: 10poolfem-genome-2009-PC,"dev_stage: adult,host: Ceanothus,isolation_source: leg muscle from 10 pooled females,tissue_type: legs muscle",1028628579,14136,0,No,0,0,0,No,,,2017-03-02T00:00:00Z,2017-03-02T00:00:00Z
MSSY02,WGS,,INV,Timema cristinae,PRJNA357256,SAMN06135417,WGS,isolate: 10poolfem-genome-2009-PC,"dev_stage: adult,host: Ceanothus,isolation_source: leg muscle from 10 pooled females,tissue_type: leg muscle",1028628579,14136,0,No,13,0,558101406,No,CM007794-CM007806,,2017-03-24T00:00:00Z,2017-03-13T00:00:00Z
MWPT01,WGS,,INV,Crassostrea virginica,PRJNA376014,SAMN06349363,WGS,isolate: RU13XGHG1-28,"isolation_source: USDA ARS Shellfish Genetics Laboratory inbred line,tissue_type: whole sample",684663495,670,0,No,179,0,446751773,No,KV918244-KV918422,,2017-03-16T00:00:00Z,2017-03-07T00:00:00Z
MWPT02,WGS,,INV,Crassostrea virginica,PRJNA376014,SAMN06349363,WGS,isolate: RU13XGHG1-28,"isolation_source: Rutgers Haskin Shellfish Research Laboratory inbred lines (NJ),tissue_type: whole sample",811963843,755,0,No,0,0,0,No,,,2017-08-29T00:00:00Z,2017-08-29T00:00:00Z
NBAG01,WGS,,PRI,Pan troglodytes,PRJNA369439,SAMN06272697,WGS,isolate: Yerkes chimp pedigree #C0471 (Clint),"dev_stage: full grown adult,tissue_type: blood",2992665144,4896,0,No,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
NBAG02,WGS,,PRI,Pan troglodytes,PRJNA369439,SAMN06272697,WGS,isolate: Yerkes chimp pedigree #C0471 (Clint),"dev_stage: full grown adult,tissue_type: blood",2992604800,5037,0,No,156,0,5637921632,No,"CM009238-CM009261,KZ614150-KZ614281",,2018-01-17T00:00:00Z,2018-01-17T00:00:00Z
MVNZ01,WGS,,VRT,Corvus cornix cornix,PRJNA358092,SAMN02143031,WGS,isolate: S_Up_H32,tissue_type: blood,1138340862,5068,0,No,0,0,0,No,,,2017-03-08T00:00:00Z,2017-03-08T00:00:00Z
NDHI01,WGS,,PRI,Pongo abelii,PRJNA369439,SAMN06275555,WGS,isolate: Susie,dev_stage: adult,3042566910,5764,0,No,0,0,0,No,,,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z
